Year,Totals,,World GDP,Credit as percentage of GDP
2021,104.0293757,1.04029E+11,9.61001E+13,0.11%
2020,105.890447,1.0589E+11,8.49068E+13,0.12%
2019,73.53634532,73536345320,8.76529E+13,0.08%
2018,61.82179242,61821792420,8.6413E+13,0.07%
2017,46.10766654,46107666540,8.1404E+13,0.06%
2016,55.75027879,55750278790,7.64656E+13,0.07%
2015,57.3337519,57333751900,7.51793E+13,0.08%
2014,75.33431905,75334319050,7.97088E+13,0.09%
2013,90.07364174,90073641740,7.76072E+13,0.12%
2012,95.80864076,95808640760,7.54881E+13,0.13%
2011,92.58552538,92585525380,7.38538E+13,0.13%
2010,60.43944864,60439448640,6.65961E+13,0.09%
2009,42.30084772,42300847720,6.08091E+13,0.07%
2008,21.48733675,21487336750,6.41237E+13,0.03%
2007,9.833092338,9833092338,5.8355E+13,0.02%
2006,13.66666076,13666660760,5.17798E+13,0.03%
2005,34.71426491,34714264910,4.77797E+13,0.07%
2004,62.13979603,62139796030,4.41176E+13,0.14%
2003,71.91295598,71912955980,3.9147E+13,0.18%
2002,70.46972981,70469729810,3.49114E+13,0.20%
2001,59.90180409,59901804090,3.36154E+13,0.18%
2000,49.32212652,49322126520,3.38309E+13,0.15%
1999,57.49613624,57496136240,3.27374E+13,0.18%
1998,66.73984298,66739842980,3.154E+13,0.21%
1997,52.56890121,52568901210,3.16204E+13,0.17%
1996,42.00908256,42009082560,3.17367E+13,0.13%
1995,41.58661194,41586611940,3.10436E+13,0.13%
1994,30.21144545,30211445450,2.78723E+13,0.11%
1993,29.13953793,29139537930,2.5822E+13,0.11%
1992,27.77163651,27771636510,2.54061E+13,0.11%
1991,26.66429172,26664291720,2.37596E+13,0.11%
1990,23.30376271,23303762710,2.278E+13,0.10%
1989,24.64999079,24649990790,2.0194E+13,0.12%
1988,26.52396918,26523969180,1.9338E+13,0.14%
1987,30.61832206,30618322060,1.73072E+13,0.18%
1986,35.34807558,35348075580,1.52053E+13,0.23%
1985,37.6650352,37665035200,1.28601E+13,0.29%
1984,37.70664729,37706647290,1.22698E+13,0.31%